Este es un archivo con información de ventas de la marketplace tienda a nivel internacional,,,,,,,,,,,,,,,,,,Columna1,Columna2
Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Teléfono,Género,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Cantidad,Descuento,Ganancia,,
5588,MX-2021-137337,24/06/2021FechaPedido,29/06/21,Rápido,BL-11725,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10003743,7,0.40,-797.16,,
6040,US-2019-126487,22/12/2019,27/12/19,estándar,FM-14650,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10002932,8,0.40,-322.56,,
6041,US-2019-126487,22/12/2019,27/12/19,estándar,FM-14650,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10003661,3,0.40,-1538.01,,
6042,US-2019-126487,22/12/2019,27/12/19,estándar,FM-14650,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10001638,3,0.40,-104.88,,
6190,US-2019-140522,12/12/2019,14/12/19,Rápido,CÁ-13135,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10001686,4,0.40,-779.68,,
6211,US-2020-113061,26/10/2020,30/10/20,estándar,DV-13420,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10002011,5,0.40,-127.80,,
6212,US-2020-113061,26/10/2020,30/10/20,estándar,DV-13420,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-PA-10002549,9,0.40,90.72,,
6344,US-2021-165512,24/03/2021FechaPedido,28/03/21,estándar,ML-18325,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-LI-10003669,2,0.40,-1164.16,,
6345,US-2021-165512,24/03/2021FechaPedido,28/03/21,estándar,ML-18325,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-TE-10000454,2,0.40,10.40,,
6650,MX-2021-129686,27/03/2021FechaPedido,01/04/21,estándar,CQ-12865,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10000301,7,0.40,44.52,,
6651,MX-2021-129686,27/03/2021FechaPedido,01/04/21,estándar,CQ-12865,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AL-10002073,2,0.40,-116.16,,
6652,MX-2021-129686,27/03/2021FechaPedido,01/04/21,estándar,CQ-12865,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10000700,3,0.40,-0.48,,
6755,US-2021-135503,03/07/2021FechaPedido,05/07/21,Rápido,AE-11200,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10000724,7,0.40,-34.06,,
6867,US-2018-130379,24/05/2018,29/05/18,estándar,SM-20890,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-AR-10004782,14,0.40,-1644.72,,
6868,US-2018-130379,24/05/2018,29/05/18,estándar,SM-20890,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-MÁ-10004381,2,0.40,-118.88,,
6915,US-2021-159884,28/11/2021FechaPedido,03/12/21,estándar,AV-11530,,,,Pequeña empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-TE-10000677,5,0.40,-0.80,,
6980,US-2018-132367,09/09/2018,13/09/18,estándar,SG-20815,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-TE-10003172,2,0.40,-162.16,,
6983,MX-2019-133718,04/09/2019,07/09/19,urgente,CB-12730,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-TE-10004681,6,0.40,297.36,,
6984,MX-2019-133718,04/09/2019,07/09/19,urgente,CB-12730,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SO-10004520,2,0.40,-25.28,,
6985,MX-2019-133718,04/09/2019,07/09/19,urgente,CB-12730,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10000610,8,0.40,-187.84,,
6986,MX-2019-133718,04/09/2019,07/09/19,urgente,CB-12730,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10001899,6,0.40,-243.63,,
7058,US-2021-107671,17/10/2021FechaPedido,19/10/21,urgente,JR-16615,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10002450,6,0.40,-202.56,,
7059,US-2021-107671,17/10/2021FechaPedido,19/10/21,urgente,JR-16615,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-PA-10004558,4,0.40,-7.52,,
7219,US-2021-147704,11/07/2021FechaPedido,17/07/21,estándar,MB-18805,,,,Pequeña empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-CO-10003950,3,0.40,-439.88,,
7364,US-2019-145849,01/08/2019,08/08/19,estándar,DS-13705,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-SU-10002302,4,0.40,-34.72,,
7365,US-2019-145849,01/08/2019,08/08/19,estándar,DS-13705,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10002960,7,0.40,-124.04,,
7366,US-2019-145849,01/08/2019,08/08/19,estándar,DS-13705,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-SI-10000823,7,0.40,-243.60,,
7631,MX-2020-144988,19/11/2020,22/11/20,Rápido,AA-11470,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,TEC-AC-10003462,7,0.40,682.36,,
7632,MX-2020-144988,19/11/2020,22/11/20,Rápido,AA-11470,,,,Empresa,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MOB-MO-10004685,7,0.40,-49.00,,
7714,US-2018-155383,03/09/2018,07/09/18,estándar,GC-15520,,,,Cliente,Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,Sur,MAT-GR-10002677,3,0.40,-18.36,,
